,ticker,sector,industry,QQQ3m_b,QQQ3m_netb,SPY3m_b,DIA3m_b,IWM3m_b,3m_rsq,QQQ1y_b,QQQ1y_netb,SPY1y_b,DIA1y_b,IWM1y_b,1y_rsq,totalInv,absInv
32,XLY,Consumer Discretionary,Sector Index,-86539.26740362404,-78613.7393462385,58571.121153032465,-58163.79167372336,-32403.379532718238,0.8316416769566146,-81838.81580184959,-34571.109395989486,-55451.83671212364,1688.8517630373872,-22561.577812887943,0.8336081414564414,-117142.25000000001,117142.25000000001
22,RING,Market Beta,Gold Miners,-5432.6442879206525,-5676.9089002228675,2614.68386761441,-6969.89999999842,1008.7216178756871,0.1634839683185786,-6388.648229718513,-4795.12216577678,-4887.691574213902,3017.9668011885065,124.60385854173956,0.1632274452618674,-9957.0,9957.0
20,QQQ,Market Beta,Nasdaq,-343360.5,-343360.5,1.645441830023055e-11,-1.1871202194377425e-11,3.820996229564514e-12,1.0,-343360.4999999998,-343360.4999999998,2.7990753094417733e-11,-8.48126954243829e-12,-8.26382708736157e-12,1.0,-343360.5,343360.5
28,XHB,Construction,Sector Index,35423.85010061943,-21834.963845297927,34480.24999016808,48272.34976925186,35316.273779550815,0.7028876363264609,42893.669523602795,7062.850348379176,13138.185779133033,18973.287220257953,31797.216161433633,0.5581357777545068,68960.5,68960.5
31,XLP,Consumer Staples,Sector Index,10353.323387489872,-7207.963819997596,31958.971724327086,35973.940461933475,-12846.14721882139,0.5727255596359413,19076.704077818093,-6806.4403650568565,31958.999999394415,25617.92196433676,-9708.084254629675,0.6270850072097339,63918.0,63918.0
26,VGK,Europe,Sector Index,5887.694947232355,524.7113815478338,6829.985172636185,1880.2681193117412,1637.3539179718737,0.6355385172734306,6463.525215053097,-779.130612140647,6829.995954516998,4107.794496950522,1847.2031003123502,0.6739829185219794,13660.0,13660.0
13,HUM,Finance Insurance And Real Estate,Hospital & Medical Service Plans,-4827.708485035187,-18003.920081313612,24306.99999952561,34029.79999988193,-12507.90020116323,0.3046731739762638,12995.704203879308,-10481.517843112806,24306.999683975828,34029.78519496177,-12196.714602188333,0.2301871191975487,48614.0,48614.0
2,APO,Finance Insurance And Real Estate,Investment Advice,21361.675368423384,16846.452283625735,-25843.4949836547,20087.467766781952,17779.701086449524,0.1534065915439957,32691.087238974756,-2005.9274594918948,25843.499999483058,17317.219530069622,17863.942420543746,0.3491742123271802,51687.0,51687.0
5,COF,Finance Insurance And Real Estate,National Commercial Banks,2333.0217908959703,-8338.37472909766,6361.9999999959955,8498.740997925219,6815.0759234057405,0.4666805781617907,3345.4989239748697,-10008.951304985609,6361.9999999948195,8906.799999998158,8906.79999999845,0.5918543882474507,12724.0,12724.0
18,"PG,SPG",Finance Insurance And Real Estate,Real Estate Investment Trusts,24104.050549684638,-41042.235041962245,26494.85856212621,51399.599999999984,50891.2264545377,0.5814492557682297,26682.04132838134,-50384.17773889779,36713.999999968,51399.59999999364,51399.59999998335,0.4714241179386771,73428.0,73428.0
30,XLF,Finance Insurance And Real Estate,Sector Index,9876.473121455569,-44799.23785025372,41337.99999341452,57873.19933312172,23119.593647012207,0.76618196597501,25649.002653522515,-45474.845027889205,41337.99999778754,57873.19999731745,31611.930389697012,0.8243991833901712,82676.0,82676.0
10,EWG,Germany,Sector Index,5572.35530018141,1683.6584346025902,3308.787456116415,4780.07800455269,1124.4797436909964,0.4604157709825902,7115.3678953225935,-372.87364711913864,6184.204815850742,5961.4615943874605,1511.308263413215,0.5997126371654818,14228.0,14228.0
7,CS,International Securities,Security Brokers Dealers & Flotation Companies,9563.870766032698,-3394.7781858366216,11272.499999999995,-15781.44027864342,15402.089043018243,0.1485368097270888,9733.525278712214,-9677.623014189714,11272.49999977781,13117.939662224459,10694.123162168624,0.4333639360540302,22545.0,22545.0
4,BA,Manufacturing,Aircraft,38487.47514193143,-9018.474282521154,-3203.7833659302637,49312.19999999916,49312.19999999999,0.4224792258163918,51676.625865157526,-22259.84071945082,35222.99999979442,49312.19999965164,49312.19999954048,0.530479908292304,70446.0,70446.0
23,SONO,Manufacturing,Household Audio & Video Equipment,76965.92515401922,59368.02173462263,-22743.458392463996,24507.857046126475,31840.899999838068,0.6320562765539615,42140.6538223703,44354.23286344296,-22743.49983899433,-15283.370069398592,31840.899999999994,0.1421954419831276,45487.0,45487.0
