,sector,industry,total,tickers
34,Consumer Discretionary,Sector Index,-117142.25000000001,XLY
23,Market Beta,Gold Miners,-9957.0,RING
21,Market Beta,Nasdaq,-343360.5,QQQ
30,Construction,Sector Index,68960.5,XHB
33,Consumer Staples,Sector Index,63918.0,XLP
28,Europe,Sector Index,13660.0,VGK
13,Finance Insurance And Real Estate,Hospital & Medical Service Plans,48614.0,HUM
2,Finance Insurance And Real Estate,Investment Advice,51687.0,APO
5,Finance Insurance And Real Estate,National Commercial Banks,12724.0,COF
25,Finance Insurance And Real Estate,Real Estate Investment Trusts,73428.0,SPG
32,Finance Insurance And Real Estate,Sector Index,82676.0,XLF
10,Germany,Sector Index,14228.0,EWG
7,International Securities,Security Brokers Dealers & Flotation Companies,22545.0,CS
4,Manufacturing,Aircraft,70446.0,BA
24,Manufacturing,Household Audio & Video Equipment,45487.0,SONO
20,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,5462.5,PVH
17,Manufacturing,Millwood Veneer Plywood & Structural Wood Members,30656.5,PATK
9,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,29675.0,EL
19,Manufacturing,Pharmaceutical Preparations,16700.0,PRX
6,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,14904.0,COMM
27,Manufacturing,Sector Index,61476.0,"VDE,XLE"
18,Manufacturing,Soap Detergents Cleang Preparations Perfumes Cosmetics,0.0,PG
26,Market Beta,SP500,414.94,SPY
14,Market Beta,Value Vector,41836.0,IJS
31,Materials,Sector Index,17320.0,XLB
1,Retail Trade,Retail-Catalog & Mail-Order Houses,9609.24,AMZN
22,Retail Trade,Retail-Miscellaneous Retail,6020.0,REAL
29,Services,Hotels & Motels,44576.0,WYNN
0,Services,Services-Business Services Nec,11771.0,ADS
15,Services,Services-Miscellaneous Business Services,6450.0,JCI
12,Services,Services-Prepackaged Software,10094.199999999999,HUBS
11,Taiwan,Sector Index,14795.0,EWT
8,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,3147.0,DISCA
3,Transportation Communications Electric Gas And Sanitary Service,Electric Services,7386.0,AY
16,Transportation Communications Electric Gas And Sanitary Service,Sector Index,44098.0,JETS
